"SANTA CRUZ DE TENERIFE","ALAJERÓ","ALAJERO","38812","CARRETERA TF 713 KM. 38,5","N","-17.205972","28.035111","22/11/2021 10:06","1.399","","","1.499","","1.319","1.379","","","","","","","","OCÉANO PLAYA SANTIAGO","Low Cost","P","dm","L-V: 07:30-19:30; S-D: 07:30-14:00 y 15:00-19:30","L-V: 07:30-19:30 (A); S-D: 07:30-14:00 (A), 15:00-19:30 (A)"
"TARRAGONA","VILALBA DELS ARCS","VILALBA DELS ARCS","43782","CALLE CERVANTES, 5","I","0.408194","41.119333","22/11/2021 14:11","","","","","","1.37","","0.92","","","","","","","COVILALBA","Low Cost","P","dm","L-D: 24H","L-D: 24H (D)"
"SANTA CRUZ DE TENERIFE","TEGUESTE","SOCORRO (EL)","38292","CARRETERA TF 154 DELPORTEZUELO ALS TODCAS KM. 1","N","-16.356861","28.520389","22/11/2021 11:33","1.159","","","1.289","","1.095","","","","","","","","","DISA EL SOCORRO","No Low cost","P","dm","L-S: 06:30-22:00; D: 08:00-14:00","Sin datos"
"ZAMORA","MONTAMARTA","MONTAMARTA","49149","CARRETERA NACIONAL 630 KM. 261,200","I","-5.798417","41.636417","22/11/2021 10:00","1.489","","","","","1.379","","","","","","","","","LOSADA-MONTAMARTA ","Low Cost","P","dm","L-V: 07:00-22:00; S: 08:00-22:00; D: 09:00-21:00","L-V: 07:00-22:00 (P); S: 08:00-22:00 (P); D: 09:00-21:00 (P)"
"CÁCERES","VALDASTILLAS","VALDASTILLAS","10614","CARRETERA NACIONAL 110 KM. 381,000","I","-5.877861","40.142806","22/11/2021 14:00","1.436","","","","","1.305","","","","","","","","","AGRUPACION COOP. VALLE DEL JERTE","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"GIRONA","GIRONA","GIRONA","17007","AVINGUDA FRANÇA, 56","D","2.819611","41.996417","08/11/2021 19:48","1.438","","","","","1.338","","","","","","","","","Q8","Low Cost","P","dm","L-S: 08:00-21:00; D: 09:00-13:00","Sin datos"
"NAVARRA","FUSTIÑANA","FUSTIÑANA","31510","POLIGONO EL CALVARIO, 1","D","-1.494472","42.023833","21/11/2021 18:20","1.459","","","","","1.319","","","","","","","","","AVIA","No Low cost","P","dm","L: 24H","L: 24H (A)"
"LUGO","LUGO","LUGO","27297","AVENIDA BENIGNO RIVERA, 29","D","-7.574583","43.036917","22/11/2021 15:00","1.417","","","","","1.297","","","","","","","","","PLENOIL","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"SEVILLA","CASTILLEJA DE LA CUESTA","CASTILLEJA DE LA CUESTA","41950","CENTRO COMERCIAL AIRESUR-IKEA S/N","N","-6.046361","37.385722","20/11/2021 07:00","1.568","","","1.711","","1.419","1.509","","","","","","","","BP BENCIR(IKEA-CASTILLEJA)","No Low cost","P","dm","L-D: 24H","L-D: 24H (A)"
"BARCELONA","SANT SADURNÍ D'ANOIA","SANT SADURNI D'ANOIA","08770","CALLE DE FRANÇA, 5","N","1.778111","41.435556","22/11/2021 14:27","1.459","","","","","1.349","","","","","","","","","GALP","No Low cost","P","dm","L-D: 24H","L-D: 24H (A)"
